UF,Mun,Pop estimada 2021,Faixa_pop,Regiao
RO,Alta Floresta DOeste,22516,4 - 20001 até 50000,1 - Norte
RO,Ariquemes,111148,6 - 100001 até 500000,1 - Norte
RO,Cabixi,5067,2 - 5001 até 10000,1 - Norte
RO,Cacoal,86416,5 - 50001 até 100000,1 - Norte
RO,Cerejeiras,16088,3 - 10001 até 20000,1 - Norte
RO,Colorado do Oeste,15213,3 - 10001 até 20000,1 - Norte
RO,Corumbiara,7052,2 - 5001 até 10000,1 - Norte
RO,Costa Marques,19255,3 - 10001 até 20000,1 - Norte
RO,Espigão DOeste,33009,4 - 20001 até 50000,1 - Norte
RO,Guajará-Mirim,46930,4 - 20001 até 50000,1 - Norte
RO,Jaru,51469,5 - 50001 até 100000,1 - Norte
RO,Ji-Paraná,131026,6 - 100001 até 500000,1 - Norte
RO,Machadinho DOeste,41724,4 - 20001 até 50000,1 - Norte
RO,Nova Brasilândia DOeste,20504,4 - 20001 até 50000,1 - Norte
RO,Ouro Preto do Oeste,35445,4 - 20001 até 50000,1 - Norte
RO,Pimenta Bueno,37098,4 - 20001 até 50000,1 - Norte
RO,Porto Velho,548952,7 - Maior que 500000,1 - Norte
RO,Presidente Médici,18165,3 - 10001 até 20000,1 - Norte
RO,Rio Crespo,3843,1 - Até 5000,1 - Norte
RO,Rolim de Moura,55748,5 - 50001 até 100000,1 - Norte
RO,Santa Luzia DOeste,5942,2 - 5001 até 10000,1 - Norte
RO,Vilhena,104517,6 - 100001 até 500000,1 - Norte
RO,São Miguel do Guaporé,23147,4 - 20001 até 50000,1 - Norte
RO,Nova Mamoré,32184,4 - 20001 até 50000,1 - Norte
RO,Alvorada DOeste,13807,3 - 10001 até 20000,1 - Norte
RO,Alto Alegre dos Parecis,13268,3 - 10001 até 20000,1 - Norte
RO,Alto Paraíso,22258,4 - 20001 até 50000,1 - Norte
RO,Buritis,41043,4 - 20001 até 50000,1 - Norte
RO,Novo Horizonte do Oeste,8125,2 - 5001 até 10000,1 - Norte
RO,Cacaulândia,6307,2 - 5001 até 10000,1 - Norte
RO,Campo Novo de Rondônia,14391,3 - 10001 até 20000,1 - Norte
RO,Candeias do Jamari,28068,4 - 20001 até 50000,1 - Norte
RO,Castanheiras,2923,1 - Até 5000,1 - Norte
RO,Chupinguaia,11755,3 - 10001 até 20000,1 - Norte
RO,Cujubim,27131,4 - 20001 até 50000,1 - Norte
RO,Governador Jorge Teixeira,7130,2 - 5001 até 10000,1 - Norte
RO,Itapuã do Oeste,10819,3 - 10001 até 20000,1 - Norte
RO,Ministro Andreazza,9461,2 - 5001 até 10000,1 - Norte
RO,Mirante da Serra,10691,3 - 10001 até 20000,1 - Norte
RO,Monte Negro,16158,3 - 10001 até 20000,1 - Norte
RO,Nova União,6822,2 - 5001 até 10000,1 - Norte
RO,Parecis,6319,2 - 5001 até 10000,1 - Norte
RO,Pimenteiras do Oeste,2127,1 - Até 5000,1 - Norte
RO,Primavera de Rondônia,2697,1 - Até 5000,1 - Norte
RO,São Felipe DOeste,4962,1 - Até 5000,1 - Norte
RO,São Francisco do Guaporé,21088,4 - 20001 até 50000,1 - Norte
RO,Seringueiras,11846,3 - 10001 até 20000,1 - Norte
RO,Teixeirópolis,4160,1 - Até 5000,1 - Norte
RO,Theobroma,10348,3 - 10001 até 20000,1 - Norte
RO,Urupá,11081,3 - 10001 até 20000,1 - Norte
RO,Vale do Anari,11545,3 - 10001 até 20000,1 - Norte
RO,Vale do Paraíso,6490,2 - 5001 até 10000,1 - Norte
AC,Acrelândia,15721,3 - 10001 até 20000,1 - Norte
AC,Assis Brasil,7649,2 - 5001 até 10000,1 - Norte
AC,Brasiléia,27123,4 - 20001 até 50000,1 - Norte
AC,Bujari,10572,3 - 10001 até 20000,1 - Norte
AC,Capixaba,12280,3 - 10001 até 20000,1 - Norte
AC,Cruzeiro do Sul,89760,5 - 50001 até 100000,1 - Norte
AC,Epitaciolândia,18979,3 - 10001 até 20000,1 - Norte
AC,Feijó,34986,4 - 20001 até 50000,1 - Norte
AC,Jordão,8628,2 - 5001 até 10000,1 - Norte
AC,Mâncio Lima,19643,3 - 10001 até 20000,1 - Norte
AC,Manoel Urbano,9701,2 - 5001 até 10000,1 - Norte
AC,Marechal Thaumaturgo,19727,3 - 10001 até 20000,1 - Norte
AC,Plácido de Castro,20147,4 - 20001 até 50000,1 - Norte
AC,Porto Walter,12497,3 - 10001 até 20000,1 - Norte
AC,Rio Branco,419452,6 - 100001 até 500000,1 - Norte
AC,Rodrigues Alves,19767,3 - 10001 até 20000,1 - Norte
AC,Santa Rosa do Purus,6893,2 - 5001 até 10000,1 - Norte
AC,Senador Guiomard,23446,4 - 20001 até 50000,1 - Norte
AC,Sena Madureira,47168,4 - 20001 até 50000,1 - Norte
AC,Tarauacá,43730,4 - 20001 até 50000,1 - Norte
AC,Xapuri,19866,3 - 10001 até 20000,1 - Norte
AC,Porto Acre,19141,3 - 10001 até 20000,1 - Norte
AM,Alvarães,16396,3 - 10001 até 20000,1 - Norte
AM,Amaturá,11934,3 - 10001 até 20000,1 - Norte
AM,Anamã,14292,3 - 10001 até 20000,1 - Norte
AM,Anori,21937,4 - 20001 até 50000,1 - Norte
AM,Apuí,22739,4 - 20001 até 50000,1 - Norte
AM,Atalaia do Norte,20868,4 - 20001 até 50000,1 - Norte
AM,Autazes,41005,4 - 20001 até 50000,1 - Norte
AM,Barcelos,27772,4 - 20001 até 50000,1 - Norte
AM,Barreirinha,32919,4 - 20001 até 50000,1 - Norte
AM,Benjamin Constant,44873,4 - 20001 até 50000,1 - Norte
AM,Beruri,20503,4 - 20001 até 50000,1 - Norte
AM,Boa Vista do Ramos,20040,4 - 20001 até 50000,1 - Norte
AM,Boca do Acre,34958,4 - 20001 até 50000,1 - Norte
AM,Borba,42328,4 - 20001 até 50000,1 - Norte
AM,Caapiranga,13482,3 - 10001 até 20000,1 - Norte
AM,Canutama,15981,3 - 10001 até 20000,1 - Norte
AM,Carauari,28719,4 - 20001 até 50000,1 - Norte
AM,Careiro,38820,4 - 20001 até 50000,1 - Norte
AM,Careiro da Várzea,31459,4 - 20001 até 50000,1 - Norte
AM,Coari,86713,5 - 50001 até 100000,1 - Norte
AM,Codajás,29691,4 - 20001 até 50000,1 - Norte
AM,Eirunepé,36121,4 - 20001 até 50000,1 - Norte
AM,Envira,20748,4 - 20001 até 50000,1 - Norte
AM,Fonte Boa,16409,3 - 10001 até 20000,1 - Norte
AM,Guajará,17193,3 - 10001 até 20000,1 - Norte
AM,Humaitá,57195,5 - 50001 até 100000,1 - Norte
AM,Ipixuna,31172,4 - 20001 até 50000,1 - Norte
AM,Iranduba,49718,4 - 20001 até 50000,1 - Norte
AM,Itacoatiara,104046,6 - 100001 até 500000,1 - Norte
AM,Itamarati,7777,2 - 5001 até 10000,1 - Norte
AM,Itapiranga,9312,2 - 5001 até 10000,1 - Norte
AM,Japurá,1755,1 - Até 5000,1 - Norte
AM,Juruá,15495,3 - 10001 até 20000,1 - Norte
AM,Jutaí,13462,3 - 10001 até 20000,1 - Norte
AM,Lábrea,47685,4 - 20001 até 50000,1 - Norte
AM,Manacapuru,99613,5 - 50001 até 100000,1 - Norte
AM,Manaquiri,33981,4 - 20001 até 50000,1 - Norte
AM,Manaus,2255903,7 - Maior que 500000,1 - Norte
AM,Manicoré,57405,5 - 50001 até 100000,1 - Norte
AM,Maraã,18298,3 - 10001 até 20000,1 - Norte
AM,Maués,66159,5 - 50001 até 100000,1 - Norte
AM,Nhamundá,21710,4 - 20001 até 50000,1 - Norte
AM,Nova Olinda do Norte,38665,4 - 20001 até 50000,1 - Norte
AM,Novo Airão,20395,4 - 20001 até 50000,1 - Norte
AM,Novo Aripuanã,26443,4 - 20001 até 50000,1 - Norte
AM,Parintins,116439,6 - 100001 até 500000,1 - Norte
AM,Pauini,19616,3 - 10001 até 20000,1 - Norte
AM,Presidente Figueiredo,38095,4 - 20001 até 50000,1 - Norte
AM,Rio Preto da Eva,34856,4 - 20001 até 50000,1 - Norte
AM,Santa Isabel do Rio Negro,26566,4 - 20001 até 50000,1 - Norte
AM,Santo Antônio do Içá,20889,4 - 20001 até 50000,1 - Norte
AM,São Gabriel da Cachoeira,47031,4 - 20001 até 50000,1 - Norte
AM,São Paulo de Olivença,40837,4 - 20001 até 50000,1 - Norte
AM,São Sebastião do Uatumã,14678,3 - 10001 até 20000,1 - Norte
AM,Silves,9289,2 - 5001 até 10000,1 - Norte
AM,Tabatinga,68502,5 - 50001 até 100000,1 - Norte
