Posição,municipio,Estado,População,cidade,uf,pais
1º,São Paulo,São Paulo,12 396 372,sao-paulo,sp,Brasil
2º,Rio de Janeiro,Rio de Janeiro,6 775 561,rio-de-janeiro,rj,Brasil
3º,Brasília,Distrito Federal,3 094 325,brasilia,df,Brasil
4º,Salvador,Bahia,2 900 319,salvador,ba,Brasil
5º,Fortaleza,Ceará,2 703 391,fortaleza,ce,Brasil
6º,Belo Horizonte,Minas Gerais,2 530 701,belo-horizonte,mg,Brasil
7º,Manaus,Amazonas,2 255 903,manaus,am,Brasil
8º,Curitiba,Paraná,1 963 726,curitiba,pr,Brasil
9º,Recife,Pernambuco,1 661 017,recife,pe,Brasil
10º,Goiânia,Goiás,1 555 626,goiania,go,Brasil
11º,Belém,Pará,1 506 420,belem,PA,Brasil
12º,Porto Alegre,Rio Grande do Sul,1 492 530,porto-alegre,rs,Brasil
13º,Guarulhos,São Paulo,1 404 694,guarulhos,sp,Brasil
14º,Campinas,São Paulo,1 223 237,campinas,sp,Brasil
15º,São Luís,Maranhão,1 115 932,sao-luis,ma,Brasil
16º,São Gonçalo,Rio de Janeiro,1 098 357,sao-goncalo,rj,Brasil
17º,Maceió,Alagoas,1 031 597,maceio,al,Brasil
18º,Duque de Caxias,Rio de Janeiro,929 449,duque-de-caxias,rj,Brasil
19º,Campo Grande,Mato Grosso do Sul,916 001,campo-grande,ms,Brasil
20º,Natal,Rio Grande do Norte,896 708,natal,rn,Brasil
21º,Teresina,Piauí,871 126,teresina,pi,Brasil
22º,São Bernardo do Campo,São Paulo,849 874,sao-bernardo-do-campo,sp,Brasil
23º,João Pessoa,Paraíba,825 796,joao-pessoa,pb,Brasil
24º,Nova Iguaçu,Rio de Janeiro,825 388,nova-iguacu,rj,Brasil
25º,São José dos Campos,São Paulo,737 310,sao-jose-dos-campos,sp,Brasil
26º,Santo André,São Paulo,723 889,santo-andre,sp,Brasil
27º,Ribeirão Preto,São Paulo,720 116,ribeirao-preto,sp,Brasil
28º,Jaboatão dos Guararapes,Pernambuco,711 330,jaboatao-dos-guararapes,pe,Brasil
29º,Uberlândia,Minas Gerais,706 597,uberlandia,mg,Brasil
30º,Osasco,São Paulo,701 428,osasco,sp,Brasil
31º,Sorocaba,São Paulo,695 328,sorocaba,sp,Brasil
32º,Contagem,Minas Gerais,673 849,contagem,mg,Brasil
33º,Aracaju,Sergipe,672 614,aracaju,se,Brasil
34º,Feira de Santana,Bahia,624 107,feira-de-santana,ba,Brasil
